day,hour,minute,driver,duration
0,13,30,13,540
0,13,30,14,360
0,13,30,21,360
0,13,30,24,330
0,13,30,50,585
0,13,30,51,585
0,13,30,52,540
0,13,30,57,585
0,13,30,58,585
0,13,30,61,585
0,13,30,64,585
0,13,30,69,585
0,13,45,2,270
0,13,45,13,540
0,13,45,14,360
0,13,45,21,360
0,13,45,24,330
0,13,45,50,585
0,13,45,51,585
0,13,45,52,540
0,13,45,57,585
0,13,45,58,585
0,13,45,60,585
0,13,45,61,585
0,13,45,64,585
0,13,45,69,585
0,14,0,2,270
0,14,0,13,540
0,14,0,21,360
0,14,0,24,330
0,14,0,50,585
0,14,0,51,585
0,14,0,52,540
0,14,0,57,585
0,14,0,58,585
0,14,0,60,585
0,14,0,61,585
0,14,0,64,585
0,14,0,69,585
0,14,0,70,585
0,14,15,2,270
0,14,15,13,540
0,14,15,21,360
0,14,15,23,360
0,14,15,50,585
0,14,15,51,585
0,14,15,52,540
0,14,15,57,585
0,14,15,58,585
0,14,15,60,585
0,14,15,61,585
0,14,15,64,585
0,14,15,69,585
0,14,15,70,585
0,14,30,2,270
0,14,30,13,540
0,14,30,18,360
0,14,30,21,360
0,14,30,23,360
0,14,30,50,585
0,14,30,51,585
0,14,30,52,540
0,14,30,57,585
0,14,30,58,585
0,14,30,60,585
0,14,30,61,585
0,14,30,64,585
0,14,30,69,585
0,14,30,70,585
0,14,45,13,540
0,14,45,18,360
0,14,45,21,360
0,14,45,23,360
0,14,45,50,585
0,14,45,51,585
0,14,45,52,540
0,14,45,57,585
0,14,45,58,585
0,14,45,60,585
0,14,45,61,585
0,14,45,64,585
0,14,45,69,585
0,14,45,70,585
0,15,0,13,540
0,15,0,18,360
0,15,0,19,345
0,15,0,21,360
0,15,0,23,360
0,15,0,50,585
0,15,0,51,585
0,15,0,52,540
0,15,0,57,585
0,15,0,58,585
0,15,0,60,585
0,15,0,61,585
0,15,0,69,585
0,15,0,70,585
0,15,15,13,540
0,15,15,18,360
0,15,15,19,345
0,15,15,23,360
0,15,15,50,585
0,15,15,51,585
0,15,15,52,540
0,15,15,57,585
0,15,15,58,585
0,15,15,60,585
0,15,15,61,585
0,15,15,69,585
0,15,15,70,585
0,15,30,18,360
0,15,30,19,345
0,15,30,22,360
0,15,30,23,360
0,15,30,50,585
0,15,30,51,585
0,15,30,52,540
0,15,30,57,585
0,15,30,58,585
0,15,30,60,585
0,15,30,61,585
0,15,30,69,585
0,15,30,70,585
0,15,45,18,360
0,15,45,19,345
0,15,45,22,360
0,15,45,23,360
0,15,45,50,585
0,15,45,51,585
0,15,45,52,540
0,15,45,57,585
0,15,45,58,585
0,15,45,60,585
0,15,45,61,585
0,15,45,69,585
0,15,45,70,585
0,16,0,18,360
0,16,0,19,345
0,16,0,22,360
0,16,0,23,360
0,16,0,26,360
0,16,0,50,585
0,16,0,51,585
0,16,0,52,540
0,16,0,57,585
0,16,0,58,585
0,16,0,60,585
0,16,0,61,585
0,16,0,69,585
0,16,0,70,585
0,16,15,18,360
0,16,15,19,345
0,16,15,22,360
0,16,15,23,360
0,16,15,26,360
0,16,15,50,585
0,16,15,51,585
0,16,15,52,540
0,16,15,57,585
0,16,15,58,585
0,16,15,60,585
0,16,15,61,585
0,16,15,69,585
0,16,15,70,585
0,16,30,18,360
0,16,30,19,345
0,16,30,22,360
0,16,30,23,360
0,16,30,26,360
0,16,30,50,585
0,16,30,51,585
0,16,30,52,540
0,16,30,57,585
0,16,30,58,585
0,16,30,60,585
0,16,30,61,585
0,16,30,69,585
0,16,30,70,585
0,16,45,18,360
0,16,45,19,345
0,16,45,22,360
0,16,45,23,360
0,16,45,26,360
0,16,45,50,585
0,16,45,51,585
0,16,45,52,540
0,16,45,57,585
0,16,45,58,585
0,16,45,60,585
0,16,45,61,585
0,16,45,69,585
0,16,45,70,585
0,17,0,18,360
0,17,0,19,345
0,17,0,22,360
0,17,0,23,360
0,17,0,26,360
0,17,0,50,585
0,17,0,51,585
0,17,0,52,540
0,17,0,57,585
0,17,0,58,585
0,17,0,60,585
0,17,0,61,585
0,17,0,69,585
0,17,0,70,585
0,17,15,18,360
0,17,15,19,345
0,17,15,22,360
0,17,15,23,360
0,17,15,26,360
0,17,15,50,585
