day,hour,minute,demand
3,7,0,0.0
3,7,15,0.0
3,7,30,0.0
3,7,45,0.0
3,8,0,0.0
3,8,15,0.0
3,8,30,0.0
3,8,45,0.0
3,9,0,0.0
3,9,15,0.0
3,9,30,0.0
3,9,45,0.0
3,10,0,0.0
3,10,15,0.0
3,10,30,0.0
3,10,45,0.0
3,11,0,0.0
3,11,15,0.0
3,11,30,0.0
3,11,45,0.0
3,12,0,0.2244482531885277
3,12,15,0.0
3,12,30,0.0
3,12,45,0.0711444511069609
3,13,0,0.0300707693072883
3,13,15,0.6203252233797492
3,13,30,0.0
3,13,45,0.0
3,14,0,0.0
3,14,15,0.4079824659112252
3,14,30,0.0
3,14,45,0.0
3,15,0,0.0
3,15,15,0.0
3,15,30,0.0
3,15,45,0.0568682666577236
3,16,0,0.0
3,16,15,0.0
3,16,30,0.0
3,16,45,0.0
3,17,0,0.0
3,17,15,0.020569558570902
3,17,30,0.4939103073249701
3,17,45,0.0
3,18,0,0.0
3,18,15,2.007756843137269
3,18,30,1.2316855602369636
3,18,45,0.0
3,19,0,0.0
3,19,15,0.0
3,19,30,0.0
3,19,45,0.0
3,20,0,0.0
3,20,15,0.0710444074748119
3,20,30,0.0
3,20,45,0.7092663998043012
3,21,0,5.781955430452408
3,21,15,2.878734338466257
3,21,30,2.16216077235764
3,21,45,4.1235426271013935
3,22,0,0.8243873324000113
3,22,15,3.2373820506964015
3,22,30,9.09372200061991
3,22,45,15.569081139310754
3,23,0,16.811774060371448
3,23,15,11.135974977842324
3,23,30,8.261276098686741
3,23,45,4.774619394263562
4,0,0,0.0
4,0,15,3.654344401243299
4,0,30,1.808143344143732
4,0,45,0.3508482953225938
4,1,0,5.049044064344955
4,1,15,3.292479906254979
4,1,30,5.09657838854246
4,1,45,2.187984275382681
4,2,0,1.8959290089329397
4,2,15,5.166596132107448
4,2,30,5.116060962302393
4,2,45,2.946541785456891
4,3,0,9.384142079158607
4,3,15,5.2561947313297095
4,3,30,3.7045019523809386
4,3,45,4.458784312058586
4,4,0,0.0
4,4,15,0.0
4,4,30,0.0
4,4,45,0.0
4,5,0,0.0
4,5,15,0.0
4,5,30,0.0
